timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/29 18:18:12.700, 0 MiB, 0 %
2026/08/29 18:18:14.704, 0 MiB, 0 %
2026/08/29 18:18:16.759, 267 MiB, 0 %
2026/08/29 18:18:18.759, 267 MiB, 0 %
2026/08/29 18:18:20.759, 3689 MiB, 1 %
2026/08/29 18:18:22.759, 14661 MiB, 96 %
2026/08/29 18:18:24.760, 14661 MiB, 100 %
2026/08/29 18:18:26.760, 14661 MiB, 52 %
2026/08/29 18:18:28.760, 14661 MiB, 100 %
2026/08/29 18:18:30.761, 14661 MiB, 100 %
2026/08/29 18:18:32.761, 14661 MiB, 100 %
2026/08/29 18:18:34.761, 14661 MiB, 90 %
2026/08/29 18:18:36.762, 14661 MiB, 100 %
2026/08/29 18:18:38.762, 14661 MiB, 100 %
2026/08/29 18:18:40.762, 14661 MiB, 54 %
2026/08/29 18:18:42.762, 14661 MiB, 100 %
2026/08/29 18:18:44.763, 14661 MiB, 100 %
2026/08/29 18:18:46.763, 14661 MiB, 100 %
2026/08/29 18:18:48.763, 14661 MiB, 100 %
2026/08/29 18:18:50.764, 14661 MiB, 98 %
2026/08/29 18:18:52.764, 14661 MiB, 100 %
2026/08/29 18:18:54.764, 14661 MiB, 93 %
2026/08/29 18:18:56.765, 14661 MiB, 98 %
2026/08/29 18:18:58.765, 14661 MiB, 100 %
2026/08/29 18:19:00.765, 14661 MiB, 66 %
2026/08/29 18:19:02.766, 14661 MiB, 100 %
2026/08/29 18:19:04.766, 14661 MiB, 100 %
2026/08/29 18:19:06.766, 14661 MiB, 50 %
2026/08/29 18:19:08.767, 14661 MiB, 100 %
2026/08/29 18:19:10.767, 14661 MiB, 100 %
2026/08/29 18:19:12.767, 14661 MiB, 100 %
2026/08/29 18:19:14.768, 14661 MiB, 100 %
2026/08/29 18:19:16.768, 14661 MiB, 98 %
2026/08/29 18:19:18.768, 14661 MiB, 100 %
2026/08/29 18:19:20.769, 14661 MiB, 93 %
2026/08/29 18:19:22.770, 14661 MiB, 98 %
2026/08/29 18:19:24.770, 14661 MiB, 100 %
2026/08/29 18:19:26.771, 14661 MiB, 56 %
2026/08/29 18:19:28.771, 14661 MiB, 100 %
2026/08/29 18:19:30.771, 14661 MiB, 100 %
2026/08/29 18:19:32.772, 14661 MiB, 51 %
2026/08/29 18:19:34.772, 14661 MiB, 100 %
2026/08/29 18:19:36.772, 14661 MiB, 100 %
2026/08/29 18:19:38.772, 14661 MiB, 100 %
2026/08/29 18:19:40.773, 14661 MiB, 100 %
2026/08/29 18:19:42.773, 14661 MiB, 98 %
2026/08/29 18:19:44.773, 14661 MiB, 100 %
2026/08/29 18:19:46.774, 14661 MiB, 95 %
2026/08/29 18:19:48.774, 14661 MiB, 98 %
2026/08/29 18:19:50.774, 14661 MiB, 100 %
2026/08/29 18:19:52.775, 14661 MiB, 53 %
2026/08/29 18:19:54.775, 14661 MiB, 100 %
2026/08/29 18:19:56.775, 14661 MiB, 98 %
2026/08/29 18:19:58.776, 14661 MiB, 100 %
2026/08/29 18:20:00.776, 14661 MiB, 100 %
2026/08/29 18:20:02.776, 14661 MiB, 98 %
2026/08/29 18:20:04.777, 14661 MiB, 100 %
2026/08/29 18:20:06.777, 14661 MiB, 91 %
2026/08/29 18:20:08.777, 14661 MiB, 99 %
2026/08/29 18:20:10.777, 14661 MiB, 100 %
2026/08/29 18:20:12.778, 14661 MiB, 55 %
2026/08/29 18:20:14.778, 14661 MiB, 100 %
2026/08/29 18:20:16.778, 14661 MiB, 100 %
2026/08/29 18:20:18.779, 14661 MiB, 50 %
2026/08/29 18:20:20.779, 14661 MiB, 100 %
2026/08/29 18:20:22.779, 14661 MiB, 100 %
2026/08/29 18:20:24.780, 14661 MiB, 70 %
2026/08/29 18:20:26.780, 14661 MiB, 100 %
2026/08/29 18:20:28.780, 14661 MiB, 100 %
2026/08/29 18:20:30.781, 14661 MiB, 100 %
2026/08/29 18:20:32.781, 14661 MiB, 100 %
2026/08/29 18:20:34.781, 14661 MiB, 98 %
2026/08/29 18:20:36.781, 14661 MiB, 100 %
2026/08/29 18:20:38.782, 14661 MiB, 100 %
2026/08/29 18:20:40.782, 14661 MiB, 98 %
2026/08/29 18:20:42.782, 14661 MiB, 100 %
2026/08/29 18:20:44.783, 14661 MiB, 100 %
2026/08/29 18:20:46.783, 14661 MiB, 98 %
2026/08/29 18:20:48.783, 14661 MiB, 100 %
2026/08/29 18:20:50.784, 14661 MiB, 87 %
2026/08/29 18:20:52.784, 14661 MiB, 98 %
2026/08/29 18:20:54.784, 14661 MiB, 100 %
2026/08/29 18:20:56.785, 14661 MiB, 59 %
2026/08/29 18:20:58.785, 14661 MiB, 100 %
2026/08/29 18:21:00.785, 14661 MiB, 100 %
2026/08/29 18:21:02.786, 14661 MiB, 51 %
2026/08/29 18:21:04.786, 14661 MiB, 100 %
2026/08/29 18:21:06.786, 14661 MiB, 100 %
2026/08/29 18:21:08.787, 14661 MiB, 59 %
2026/08/29 18:21:10.787, 14661 MiB, 100 %
2026/08/29 18:21:12.787, 14661 MiB, 100 %
2026/08/29 18:21:14.787, 14661 MiB, 91 %
2026/08/29 18:21:16.788, 14661 MiB, 100 %
2026/08/29 18:21:18.788, 14661 MiB, 100 %
2026/08/29 18:21:20.788, 14661 MiB, 100 %
2026/08/29 18:21:22.789, 14661 MiB, 100 %
2026/08/29 18:21:24.789, 14661 MiB, 99 %
2026/08/29 18:21:26.789, 14661 MiB, 100 %
2026/08/29 18:21:28.790, 14661 MiB, 100 %
2026/08/29 18:21:30.790, 14661 MiB, 98 %
2026/08/29 18:21:32.790, 14661 MiB, 100 %
2026/08/29 18:21:34.791, 14661 MiB, 84 %
2026/08/29 18:21:36.791, 14661 MiB, 98 %
2026/08/29 18:21:38.791, 14661 MiB, 100 %
2026/08/29 18:21:40.792, 14661 MiB, 74 %
2026/08/29 18:21:42.792, 14661 MiB, 100 %
2026/08/29 18:21:44.792, 14661 MiB, 100 %
2026/08/29 18:21:46.793, 14661 MiB, 58 %
2026/08/29 18:21:48.793, 14661 MiB, 100 %
2026/08/29 18:21:50.793, 14661 MiB, 100 %
2026/08/29 18:21:52.793, 14661 MiB, 49 %
2026/08/29 18:21:54.794, 14661 MiB, 100 %
2026/08/29 18:21:56.794, 14661 MiB, 100 %
2026/08/29 18:21:58.794, 14661 MiB, 49 %
2026/08/29 18:22:00.795, 14661 MiB, 100 %
2026/08/29 18:22:02.795, 14661 MiB, 100 %
2026/08/29 18:22:04.795, 14661 MiB, 53 %
2026/08/29 18:22:06.796, 14661 MiB, 100 %
2026/08/29 18:22:08.797, 14661 MiB, 100 %
2026/08/29 18:22:10.797, 14661 MiB, 66 %
2026/08/29 18:22:12.797, 14661 MiB, 100 %
2026/08/29 18:22:14.797, 14661 MiB, 100 %
2026/08/29 18:22:16.797, 14661 MiB, 96 %
2026/08/29 18:22:18.798, 14661 MiB, 100 %
2026/08/29 18:22:20.798, 14661 MiB, 100 %
2026/08/29 18:22:22.798, 14661 MiB, 100 %
2026/08/29 18:22:24.798, 14661 MiB, 100 %
2026/08/29 18:22:26.798, 14661 MiB, 98 %
2026/08/29 18:22:28.798, 14661 MiB, 100 %
