timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/31 00:00:08.925, 0 MiB, 0 %
2026/08/31 00:00:38.930, 14661 MiB, 100 %
2026/08/31 00:01:08.931, 14661 MiB, 100 %
2026/08/31 00:01:38.932, 14661 MiB, 100 %
2026/08/31 00:02:08.932, 14661 MiB, 100 %
2026/08/31 00:02:38.933, 14661 MiB, 100 %
2026/08/31 00:03:08.933, 14661 MiB, 98 %
2026/08/31 00:03:38.934, 14661 MiB, 100 %
2026/08/31 00:04:08.934, 14661 MiB, 75 %
2026/08/31 00:04:38.934, 14661 MiB, 100 %
2026/08/31 00:05:08.935, 14661 MiB, 100 %
2026/08/31 00:05:38.936, 14661 MiB, 100 %
2026/08/31 00:06:08.936, 14661 MiB, 100 %
2026/08/31 00:06:38.937, 14661 MiB, 100 %
2026/08/31 00:07:08.937, 14661 MiB, 46 %
2026/08/31 00:07:38.938, 14661 MiB, 100 %
2026/08/31 00:08:08.938, 14661 MiB, 100 %
2026/08/31 00:08:38.939, 14661 MiB, 98 %
2026/08/31 00:09:08.940, 14661 MiB, 100 %
2026/08/31 00:09:38.940, 14661 MiB, 46 %
2026/08/31 00:10:08.941, 14661 MiB, 100 %
2026/08/31 00:10:38.941, 14661 MiB, 100 %
2026/08/31 00:11:08.942, 14661 MiB, 100 %
2026/08/31 00:11:38.943, 14661 MiB, 97 %
2026/08/31 00:12:08.944, 14661 MiB, 100 %
2026/08/31 00:12:38.945, 14661 MiB, 40 %
2026/08/31 00:13:08.945, 14661 MiB, 100 %
2026/08/31 00:13:38.946, 14661 MiB, 71 %
2026/08/31 00:14:08.947, 14661 MiB, 100 %
2026/08/31 00:14:38.948, 14661 MiB, 100 %
2026/08/31 00:15:08.949, 14661 MiB, 100 %
2026/08/31 00:15:38.950, 14661 MiB, 100 %
2026/08/31 00:16:08.951, 14661 MiB, 58 %
2026/08/31 00:16:38.952, 14661 MiB, 100 %
2026/08/31 00:17:08.952, 14661 MiB, 91 %
2026/08/31 00:17:38.953, 14661 MiB, 100 %
2026/08/31 00:18:08.954, 14661 MiB, 68 %
2026/08/31 00:18:38.955, 14661 MiB, 100 %
2026/08/31 00:19:08.956, 14661 MiB, 100 %
2026/08/31 00:19:38.957, 14661 MiB, 72 %
2026/08/31 00:20:08.958, 14661 MiB, 100 %
2026/08/31 00:20:38.959, 14661 MiB, 100 %
2026/08/31 00:21:08.960, 14661 MiB, 100 %
2026/08/31 00:21:38.960, 14661 MiB, 94 %
2026/08/31 00:22:08.961, 14661 MiB, 100 %
2026/08/31 00:22:38.962, 14661 MiB, 90 %
2026/08/31 00:23:08.963, 14661 MiB, 100 %
2026/08/31 00:23:38.964, 14661 MiB, 100 %
2026/08/31 00:24:08.965, 14661 MiB, 79 %
2026/08/31 00:24:38.966, 14661 MiB, 100 %
2026/08/31 00:25:08.966, 14661 MiB, 98 %
2026/08/31 00:25:38.967, 14661 MiB, 100 %
2026/08/31 00:26:08.967, 14661 MiB, 100 %
2026/08/31 00:26:38.968, 14661 MiB, 100 %
2026/08/31 00:27:08.969, 14661 MiB, 100 %
2026/08/31 00:27:38.969, 14661 MiB, 100 %
2026/08/31 00:28:08.970, 14661 MiB, 100 %
2026/08/31 00:28:38.970, 14661 MiB, 100 %
2026/08/31 00:29:08.971, 14661 MiB, 100 %
2026/08/31 00:29:38.972, 14661 MiB, 100 %
2026/08/31 00:30:08.972, 14661 MiB, 100 %
2026/08/31 00:30:38.973, 14661 MiB, 100 %
2026/08/31 00:31:08.974, 14661 MiB, 100 %
2026/08/31 00:31:38.975, 14661 MiB, 83 %
2026/08/31 00:32:08.976, 14661 MiB, 100 %
2026/08/31 00:32:38.976, 14661 MiB, 100 %
2026/08/31 00:33:08.977, 14661 MiB, 68 %
2026/08/31 00:33:38.978, 14661 MiB, 100 %
2026/08/31 00:34:08.978, 14661 MiB, 65 %
2026/08/31 00:34:38.979, 14661 MiB, 97 %
2026/08/31 00:35:08.979, 14661 MiB, 100 %
2026/08/31 00:35:38.980, 14661 MiB, 100 %
2026/08/31 00:36:08.981, 14661 MiB, 100 %
2026/08/31 00:36:38.981, 14661 MiB, 100 %
2026/08/31 00:37:08.982, 14661 MiB, 100 %
2026/08/31 00:37:38.983, 14661 MiB, 100 %
2026/08/31 00:38:08.983, 14661 MiB, 100 %
2026/08/31 00:38:38.984, 14661 MiB, 100 %
2026/08/31 00:39:08.984, 14661 MiB, 100 %
2026/08/31 00:39:38.985, 14661 MiB, 100 %
2026/08/31 00:40:08.985, 14661 MiB, 50 %
2026/08/31 00:40:38.986, 14661 MiB, 98 %
2026/08/31 00:41:08.987, 14661 MiB, 60 %
2026/08/31 00:41:38.988, 14661 MiB, 100 %
2026/08/31 00:42:08.989, 14661 MiB, 100 %
2026/08/31 00:42:38.989, 14661 MiB, 98 %
2026/08/31 00:43:08.990, 14661 MiB, 100 %
2026/08/31 00:43:38.991, 14661 MiB, 100 %
2026/08/31 00:44:08.992, 14661 MiB, 100 %
2026/08/31 00:44:38.992, 14661 MiB, 52 %
2026/08/31 00:45:08.993, 14661 MiB, 97 %
2026/08/31 00:45:38.994, 14661 MiB, 89 %
2026/08/31 00:46:08.994, 14661 MiB, 97 %
2026/08/31 00:46:38.995, 14661 MiB, 85 %
2026/08/31 00:47:08.995, 14661 MiB, 98 %
2026/08/31 00:47:38.996, 14661 MiB, 100 %
2026/08/31 00:48:08.997, 14661 MiB, 98 %
2026/08/31 00:48:38.997, 14661 MiB, 98 %
2026/08/31 00:49:08.998, 14661 MiB, 100 %
2026/08/31 00:49:38.998, 14661 MiB, 100 %
2026/08/31 00:50:08.999, 14661 MiB, 97 %
2026/08/31 00:50:39.000, 14661 MiB, 49 %
2026/08/31 00:51:09.000, 14661 MiB, 100 %
2026/08/31 00:51:39.001, 14661 MiB, 100 %
2026/08/31 00:52:09.002, 14661 MiB, 98 %
2026/08/31 00:52:39.003, 14661 MiB, 74 %
2026/08/31 00:53:09.004, 14661 MiB, 98 %
