timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/30 11:33:06.724, 0 MiB, 0 %
2026/08/30 11:33:08.729, 0 MiB, 0 %
2026/08/30 11:33:10.730, 267 MiB, 0 %
2026/08/30 11:33:12.745, 267 MiB, 0 %
2026/08/30 11:33:14.746, 613 MiB, 0 %
2026/08/30 11:33:16.746, 12361 MiB, 0 %
2026/08/30 11:33:18.747, 14661 MiB, 1 %
2026/08/30 11:33:20.747, 14661 MiB, 100 %
2026/08/30 11:33:22.747, 14661 MiB, 42 %
2026/08/30 11:33:24.748, 14661 MiB, 100 %
2026/08/30 11:33:26.748, 14661 MiB, 100 %
2026/08/30 11:33:28.749, 14661 MiB, 100 %
2026/08/30 11:33:30.749, 14661 MiB, 100 %
2026/08/30 11:33:32.750, 14661 MiB, 98 %
2026/08/30 11:33:34.750, 14661 MiB, 100 %
2026/08/30 11:33:36.750, 14661 MiB, 52 %
2026/08/30 11:33:38.751, 14661 MiB, 100 %
2026/08/30 11:33:40.751, 14661 MiB, 100 %
2026/08/30 11:33:42.752, 14661 MiB, 100 %
2026/08/30 11:33:44.752, 14661 MiB, 100 %
2026/08/30 11:33:46.752, 14661 MiB, 100 %
2026/08/30 11:33:48.753, 14661 MiB, 100 %
2026/08/30 11:33:50.753, 14661 MiB, 33 %
2026/08/30 11:33:52.753, 14661 MiB, 98 %
2026/08/30 11:33:54.754, 14661 MiB, 100 %
2026/08/30 11:33:56.754, 14661 MiB, 100 %
2026/08/30 11:33:58.755, 14661 MiB, 100 %
2026/08/30 11:34:00.755, 14661 MiB, 100 %
2026/08/30 11:34:02.755, 14661 MiB, 100 %
2026/08/30 11:34:04.756, 14661 MiB, 51 %
2026/08/30 11:34:06.756, 14661 MiB, 98 %
2026/08/30 11:34:08.756, 14661 MiB, 68 %
2026/08/30 11:34:10.757, 14661 MiB, 100 %
2026/08/30 11:34:12.757, 14661 MiB, 100 %
2026/08/30 11:34:14.758, 14661 MiB, 100 %
2026/08/30 11:34:16.758, 14661 MiB, 100 %
2026/08/30 11:34:18.758, 14661 MiB, 100 %
2026/08/30 11:34:20.759, 14661 MiB, 100 %
2026/08/30 11:34:22.759, 14661 MiB, 88 %
2026/08/30 11:34:24.759, 14661 MiB, 100 %
2026/08/30 11:34:26.760, 14661 MiB, 39 %
2026/08/30 11:34:28.760, 14661 MiB, 97 %
2026/08/30 11:34:30.761, 14661 MiB, 100 %
2026/08/30 11:34:32.761, 14661 MiB, 100 %
2026/08/30 11:34:34.762, 14661 MiB, 100 %
2026/08/30 11:34:36.762, 14661 MiB, 100 %
2026/08/30 11:34:38.762, 14661 MiB, 100 %
2026/08/30 11:34:40.763, 14661 MiB, 100 %
2026/08/30 11:34:42.763, 14661 MiB, 100 %
2026/08/30 11:34:44.763, 14661 MiB, 59 %
2026/08/30 11:34:46.764, 14661 MiB, 97 %
2026/08/30 11:34:48.764, 14661 MiB, 48 %
2026/08/30 11:34:50.765, 14661 MiB, 98 %
2026/08/30 11:34:52.765, 14661 MiB, 100 %
2026/08/30 11:34:54.765, 14661 MiB, 100 %
2026/08/30 11:34:56.766, 14661 MiB, 100 %
2026/08/30 11:34:58.766, 14661 MiB, 100 %
2026/08/30 11:35:00.767, 14661 MiB, 100 %
2026/08/30 11:35:02.767, 14661 MiB, 100 %
2026/08/30 11:35:04.767, 14661 MiB, 100 %
2026/08/30 11:35:06.768, 14661 MiB, 87 %
2026/08/30 11:35:08.768, 14661 MiB, 100 %
2026/08/30 11:35:10.769, 14661 MiB, 57 %
2026/08/30 11:35:12.769, 14661 MiB, 100 %
2026/08/30 11:35:14.769, 14661 MiB, 38 %
2026/08/30 11:35:16.770, 14661 MiB, 97 %
2026/08/30 11:35:18.770, 14661 MiB, 56 %
2026/08/30 11:35:20.771, 14661 MiB, 98 %
2026/08/30 11:35:22.771, 14661 MiB, 81 %
2026/08/30 11:35:24.771, 14661 MiB, 100 %
2026/08/30 11:35:26.772, 14661 MiB, 100 %
2026/08/30 11:35:28.772, 14661 MiB, 100 %
2026/08/30 11:35:30.772, 14661 MiB, 100 %
2026/08/30 11:35:32.773, 14661 MiB, 100 %
2026/08/30 11:35:34.773, 14661 MiB, 100 %
2026/08/30 11:35:36.773, 14661 MiB, 93 %
2026/08/30 11:35:38.774, 14661 MiB, 100 %
2026/08/30 11:35:40.774, 14661 MiB, 47 %
2026/08/30 11:35:42.775, 14661 MiB, 98 %
2026/08/30 11:35:44.775, 14661 MiB, 63 %
2026/08/30 11:35:46.776, 14661 MiB, 100 %
2026/08/30 11:35:48.776, 14661 MiB, 100 %
2026/08/30 11:35:50.776, 14661 MiB, 100 %
2026/08/30 11:35:52.777, 14661 MiB, 100 %
2026/08/30 11:35:54.777, 14661 MiB, 100 %
2026/08/30 11:35:56.778, 14661 MiB, 98 %
2026/08/30 11:35:58.778, 14661 MiB, 62 %
2026/08/30 11:36:00.778, 14661 MiB, 100 %
2026/08/30 11:36:02.779, 14661 MiB, 100 %
2026/08/30 11:36:04.779, 14661 MiB, 100 %
2026/08/30 11:36:06.780, 14661 MiB, 100 %
2026/08/30 11:36:08.780, 14661 MiB, 100 %
2026/08/30 11:36:10.781, 14661 MiB, 100 %
2026/08/30 11:36:12.781, 14661 MiB, 46 %
2026/08/30 11:36:14.781, 14661 MiB, 98 %
2026/08/30 11:36:16.782, 14661 MiB, 90 %
2026/08/30 11:36:18.782, 14661 MiB, 100 %
2026/08/30 11:36:20.782, 14661 MiB, 100 %
2026/08/30 11:36:22.783, 14661 MiB, 100 %
2026/08/30 11:36:24.783, 14661 MiB, 100 %
2026/08/30 11:36:26.784, 14661 MiB, 100 %
2026/08/30 11:36:28.784, 14661 MiB, 100 %
2026/08/30 11:36:30.784, 14661 MiB, 100 %
2026/08/30 11:36:32.785, 14661 MiB, 100 %
2026/08/30 11:36:34.785, 14661 MiB, 100 %
2026/08/30 11:36:36.785, 14661 MiB, 100 %
2026/08/30 11:36:38.786, 14661 MiB, 100 %
2026/08/30 11:36:40.786, 14661 MiB, 100 %
2026/08/30 11:36:42.786, 14661 MiB, 53 %
2026/08/30 11:36:44.787, 14661 MiB, 98 %
2026/08/30 11:36:46.787, 14661 MiB, 39 %
2026/08/30 11:36:48.787, 14661 MiB, 98 %
2026/08/30 11:36:50.788, 14661 MiB, 70 %
2026/08/30 11:36:52.788, 14661 MiB, 100 %
2026/08/30 11:36:54.788, 14661 MiB, 100 %
2026/08/30 11:36:56.789, 14661 MiB, 100 %
2026/08/30 11:36:58.789, 14661 MiB, 100 %
2026/08/30 11:37:00.790, 14661 MiB, 100 %
2026/08/30 11:37:02.790, 14661 MiB, 100 %
2026/08/30 11:37:04.790, 14661 MiB, 100 %
2026/08/30 11:37:06.791, 14661 MiB, 100 %
2026/08/30 11:37:08.791, 14661 MiB, 95 %
2026/08/30 11:37:10.792, 14661 MiB, 100 %
2026/08/30 11:37:12.792, 14661 MiB, 57 %
2026/08/30 11:37:14.793, 14661 MiB, 98 %
2026/08/30 11:37:16.793, 14661 MiB, 62 %
2026/08/30 11:37:18.793, 14661 MiB, 97 %
2026/08/30 11:37:20.794, 14661 MiB, 98 %
2026/08/30 11:37:22.794, 14661 MiB, 100 %
2026/08/30 11:37:24.795, 14661 MiB, 100 %
2026/08/30 11:37:26.796, 14661 MiB, 57 %
2026/08/30 11:37:28.796, 14661 MiB, 98 %
2026/08/30 11:37:30.796, 14661 MiB, 48 %
2026/08/30 11:37:32.797, 14661 MiB, 98 %
2026/08/30 11:37:34.797, 14661 MiB, 100 %
2026/08/30 11:37:36.798, 14661 MiB, 100 %
2026/08/30 11:37:38.798, 14661 MiB, 100 %
2026/08/30 11:37:40.798, 14661 MiB, 100 %
2026/08/30 11:37:42.799, 14661 MiB, 100 %
2026/08/30 11:37:44.799, 14661 MiB, 100 %
2026/08/30 11:37:46.800, 14661 MiB, 100 %
2026/08/30 11:37:48.800, 14661 MiB, 100 %
2026/08/30 11:37:50.800, 14661 MiB, 100 %
2026/08/30 11:37:52.801, 14661 MiB, 88 %
2026/08/30 11:37:54.801, 14661 MiB, 100 %
2026/08/30 11:37:56.802, 14661 MiB, 73 %
2026/08/30 11:37:58.802, 14661 MiB, 100 %
2026/08/30 11:38:00.803, 14661 MiB, 42 %
