timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/30 06:27:21.321, 0 MiB, 0 %
2026/08/30 06:27:23.326, 0 MiB, 0 %
2026/08/30 06:27:25.345, 267 MiB, 0 %
2026/08/30 06:27:27.345, 267 MiB, 0 %
2026/08/30 06:27:29.346, 835 MiB, 0 %
2026/08/30 06:27:31.346, 14659 MiB, 5 %
2026/08/30 06:27:33.346, 14661 MiB, 100 %
2026/08/30 06:27:35.347, 14661 MiB, 63 %
2026/08/30 06:27:37.347, 14661 MiB, 99 %
2026/08/30 06:27:39.347, 14661 MiB, 100 %
2026/08/30 06:27:41.348, 14661 MiB, 100 %
2026/08/30 06:27:43.348, 14661 MiB, 98 %
2026/08/30 06:27:45.349, 14661 MiB, 100 %
2026/08/30 06:27:47.349, 14661 MiB, 100 %
2026/08/30 06:27:49.349, 14661 MiB, 100 %
2026/08/30 06:27:51.350, 14661 MiB, 52 %
2026/08/30 06:27:53.350, 14661 MiB, 100 %
2026/08/30 06:27:55.350, 14661 MiB, 100 %
2026/08/30 06:27:57.351, 14661 MiB, 100 %
2026/08/30 06:27:59.352, 14661 MiB, 98 %
2026/08/30 06:28:01.352, 14661 MiB, 94 %
2026/08/30 06:28:03.353, 14661 MiB, 100 %
2026/08/30 06:28:05.353, 14661 MiB, 100 %
2026/08/30 06:28:07.353, 14661 MiB, 73 %
2026/08/30 06:28:09.354, 14661 MiB, 98 %
2026/08/30 06:28:11.354, 14661 MiB, 100 %
2026/08/30 06:28:13.354, 14661 MiB, 100 %
2026/08/30 06:28:15.355, 14661 MiB, 100 %
2026/08/30 06:28:17.355, 14661 MiB, 53 %
2026/08/30 06:28:19.356, 14661 MiB, 100 %
2026/08/30 06:28:21.356, 14661 MiB, 100 %
2026/08/30 06:28:23.356, 14661 MiB, 100 %
2026/08/30 06:28:25.357, 14661 MiB, 100 %
2026/08/30 06:28:27.357, 14661 MiB, 64 %
2026/08/30 06:28:29.357, 14661 MiB, 100 %
2026/08/30 06:28:31.358, 14661 MiB, 100 %
2026/08/30 06:28:33.358, 14661 MiB, 100 %
2026/08/30 06:28:35.359, 14661 MiB, 100 %
2026/08/30 06:28:37.359, 14661 MiB, 77 %
2026/08/30 06:28:39.359, 14661 MiB, 100 %
2026/08/30 06:28:41.360, 14661 MiB, 100 %
2026/08/30 06:28:43.360, 14661 MiB, 100 %
2026/08/30 06:28:45.360, 14661 MiB, 98 %
2026/08/30 06:28:47.361, 14661 MiB, 87 %
2026/08/30 06:28:49.361, 14661 MiB, 100 %
2026/08/30 06:28:51.361, 14661 MiB, 100 %
2026/08/30 06:28:53.362, 14661 MiB, 100 %
2026/08/30 06:28:55.362, 14661 MiB, 98 %
2026/08/30 06:28:57.363, 14661 MiB, 84 %
2026/08/30 06:28:59.363, 14661 MiB, 100 %
2026/08/30 06:29:01.363, 14661 MiB, 100 %
2026/08/30 06:29:03.364, 14661 MiB, 100 %
2026/08/30 06:29:05.364, 14661 MiB, 100 %
2026/08/30 06:29:07.364, 14661 MiB, 80 %
2026/08/30 06:29:09.365, 14661 MiB, 100 %
2026/08/30 06:29:11.365, 14661 MiB, 100 %
2026/08/30 06:29:13.365, 14661 MiB, 100 %
2026/08/30 06:29:15.366, 14661 MiB, 100 %
2026/08/30 06:29:17.366, 14661 MiB, 76 %
2026/08/30 06:29:19.366, 14661 MiB, 100 %
2026/08/30 06:29:21.367, 14661 MiB, 100 %
2026/08/30 06:29:23.367, 14661 MiB, 100 %
2026/08/30 06:29:25.367, 14661 MiB, 100 %
2026/08/30 06:29:27.368, 14661 MiB, 67 %
2026/08/30 06:29:29.368, 14661 MiB, 100 %
2026/08/30 06:29:31.369, 14661 MiB, 100 %
2026/08/30 06:29:33.369, 14661 MiB, 100 %
2026/08/30 06:29:35.369, 14661 MiB, 100 %
2026/08/30 06:29:37.370, 14661 MiB, 56 %
2026/08/30 06:29:39.370, 14661 MiB, 100 %
2026/08/30 06:29:41.370, 14661 MiB, 100 %
2026/08/30 06:29:43.371, 14661 MiB, 100 %
2026/08/30 06:29:45.371, 14661 MiB, 100 %
2026/08/30 06:29:47.371, 14661 MiB, 55 %
2026/08/30 06:29:49.372, 14661 MiB, 98 %
2026/08/30 06:29:51.372, 14661 MiB, 100 %
2026/08/30 06:29:53.373, 14661 MiB, 99 %
2026/08/30 06:29:55.373, 14661 MiB, 98 %
2026/08/30 06:29:57.373, 14661 MiB, 86 %
2026/08/30 06:29:59.374, 14661 MiB, 100 %
2026/08/30 06:30:01.374, 14661 MiB, 100 %
2026/08/30 06:30:03.374, 14661 MiB, 100 %
2026/08/30 06:30:05.375, 14661 MiB, 100 %
2026/08/30 06:30:07.375, 14661 MiB, 53 %
2026/08/30 06:30:09.375, 14661 MiB, 100 %
2026/08/30 06:30:11.376, 14661 MiB, 100 %
2026/08/30 06:30:13.376, 14661 MiB, 100 %
2026/08/30 06:30:15.377, 14661 MiB, 100 %
