timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/31 15:46:36.328, 0 MiB, 0 %
2026/08/31 15:47:06.335, 14661 MiB, 100 %
2026/08/31 15:47:36.336, 14661 MiB, 100 %
2026/08/31 15:48:06.337, 14661 MiB, 100 %
2026/08/31 15:48:36.338, 14661 MiB, 75 %
2026/08/31 15:49:06.339, 14661 MiB, 91 %
2026/08/31 15:49:36.340, 14661 MiB, 100 %
2026/08/31 15:50:06.341, 14661 MiB, 100 %
2026/08/31 15:50:36.342, 14661 MiB, 100 %
2026/08/31 15:51:06.344, 14661 MiB, 100 %
2026/08/31 15:51:36.345, 14661 MiB, 65 %
2026/08/31 15:52:06.346, 14661 MiB, 98 %
2026/08/31 15:52:36.347, 14661 MiB, 100 %
2026/08/31 15:53:06.348, 14661 MiB, 100 %
2026/08/31 15:53:36.349, 14661 MiB, 52 %
2026/08/31 15:54:06.350, 14661 MiB, 58 %
2026/08/31 15:54:36.351, 14661 MiB, 100 %
2026/08/31 15:55:06.351, 14661 MiB, 100 %
2026/08/31 15:55:36.353, 14661 MiB, 100 %
2026/08/31 15:56:06.354, 14661 MiB, 100 %
2026/08/31 15:56:36.354, 14661 MiB, 98 %
2026/08/31 15:57:06.355, 14661 MiB, 100 %
2026/08/31 15:57:36.356, 14661 MiB, 71 %
2026/08/31 15:58:06.356, 14661 MiB, 100 %
2026/08/31 15:58:36.357, 14661 MiB, 98 %
2026/08/31 15:59:06.358, 14661 MiB, 100 %
2026/08/31 15:59:36.359, 14661 MiB, 52 %
2026/08/31 16:00:06.360, 14661 MiB, 100 %
2026/08/31 16:00:36.361, 14661 MiB, 100 %
2026/08/31 16:01:06.362, 14661 MiB, 100 %
2026/08/31 16:01:36.363, 14661 MiB, 98 %
2026/08/31 16:02:06.364, 14661 MiB, 100 %
2026/08/31 16:02:36.365, 14661 MiB, 100 %
2026/08/31 16:03:06.366, 14661 MiB, 80 %
2026/08/31 16:03:36.367, 14661 MiB, 100 %
2026/08/31 16:04:06.368, 14661 MiB, 98 %
2026/08/31 16:04:36.369, 14661 MiB, 100 %
2026/08/31 16:05:06.370, 14661 MiB, 97 %
2026/08/31 16:05:36.370, 14661 MiB, 100 %
2026/08/31 16:06:06.371, 14661 MiB, 98 %
2026/08/31 16:06:36.372, 14661 MiB, 100 %
2026/08/31 16:07:06.373, 14661 MiB, 91 %
2026/08/31 16:07:36.385, 14661 MiB, 66 %
2026/08/31 16:08:06.386, 14661 MiB, 100 %
2026/08/31 16:08:36.387, 14661 MiB, 98 %
2026/08/31 16:09:06.388, 14661 MiB, 100 %
2026/08/31 16:09:36.389, 14661 MiB, 51 %
2026/08/31 16:10:06.390, 14661 MiB, 100 %
2026/08/31 16:10:36.391, 14661 MiB, 98 %
2026/08/31 16:11:06.391, 14661 MiB, 100 %
2026/08/31 16:11:36.392, 14661 MiB, 100 %
2026/08/31 16:12:06.393, 14661 MiB, 100 %
2026/08/31 16:12:36.394, 14661 MiB, 98 %
2026/08/31 16:13:06.395, 14661 MiB, 100 %
2026/08/31 16:13:36.395, 14661 MiB, 89 %
2026/08/31 16:14:06.396, 14661 MiB, 87 %
2026/08/31 16:14:36.397, 14661 MiB, 100 %
2026/08/31 16:15:06.398, 14661 MiB, 100 %
2026/08/31 16:15:36.399, 14661 MiB, 100 %
2026/08/31 16:16:06.400, 14661 MiB, 100 %
2026/08/31 16:16:36.401, 14661 MiB, 100 %
2026/08/31 16:17:06.402, 14661 MiB, 98 %
2026/08/31 16:17:36.402, 14661 MiB, 97 %
2026/08/31 16:18:06.403, 14661 MiB, 100 %
2026/08/31 16:18:36.404, 14661 MiB, 64 %
2026/08/31 16:19:06.405, 14661 MiB, 100 %
2026/08/31 16:19:36.406, 14661 MiB, 100 %
2026/08/31 16:20:06.407, 14661 MiB, 100 %
