timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/01 08:40:42.700, 0 MiB, 0 %
2026/09/01 08:41:12.709, 1639 MiB, 28 %
2026/09/01 08:41:42.710, 1639 MiB, 100 %
2026/09/01 08:42:12.711, 1639 MiB, 100 %
2026/09/01 08:42:42.712, 1639 MiB, 83 %
2026/09/01 08:43:12.712, 1639 MiB, 75 %
2026/09/01 08:43:42.713, 1639 MiB, 100 %
2026/09/01 08:44:12.714, 1639 MiB, 100 %
2026/09/01 08:44:42.714, 1639 MiB, 100 %
2026/09/01 08:45:12.715, 1639 MiB, 22 %
2026/09/01 08:45:42.715, 1639 MiB, 100 %
2026/09/01 08:46:12.716, 1639 MiB, 52 %
2026/09/01 08:46:42.717, 1639 MiB, 70 %
2026/09/01 08:47:12.718, 1639 MiB, 100 %
2026/09/01 08:47:42.719, 1639 MiB, 100 %
2026/09/01 08:48:12.720, 1639 MiB, 75 %
2026/09/01 08:48:42.720, 1639 MiB, 23 %
2026/09/01 08:49:12.722, 1639 MiB, 74 %
2026/09/01 08:49:42.722, 1639 MiB, 100 %
2026/09/01 08:50:12.723, 1639 MiB, 100 %
2026/09/01 08:50:42.724, 1639 MiB, 69 %
2026/09/01 08:51:12.725, 1639 MiB, 55 %
2026/09/01 08:51:42.726, 1639 MiB, 100 %
2026/09/01 08:52:12.726, 1639 MiB, 22 %
2026/09/01 08:52:42.727, 1639 MiB, 100 %
2026/09/01 08:53:12.728, 1639 MiB, 63 %
2026/09/01 08:53:42.729, 1639 MiB, 74 %
2026/09/01 08:54:12.729, 1639 MiB, 100 %
2026/09/01 08:54:42.730, 1639 MiB, 100 %
2026/09/01 08:55:12.731, 1639 MiB, 100 %
2026/09/01 08:55:42.732, 1639 MiB, 71 %
2026/09/01 08:56:12.737, 1639 MiB, 100 %
2026/09/01 08:56:42.738, 1639 MiB, 82 %
2026/09/01 08:57:12.739, 1639 MiB, 23 %
2026/09/01 08:57:42.740, 1639 MiB, 100 %
2026/09/01 08:58:12.741, 1639 MiB, 100 %
