timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/02 02:18:33.723, 0 MiB, 0 %
2026/09/02 02:19:03.729, 1639 MiB, 100 %
2026/09/02 02:19:33.730, 1639 MiB, 100 %
2026/09/02 02:20:03.730, 1639 MiB, 22 %
2026/09/02 02:20:33.731, 1639 MiB, 100 %
2026/09/02 02:21:03.732, 1639 MiB, 71 %
2026/09/02 02:21:33.733, 1639 MiB, 23 %
2026/09/02 02:22:03.733, 1639 MiB, 100 %
2026/09/02 02:22:33.734, 1639 MiB, 100 %
2026/09/02 02:23:03.734, 1639 MiB, 98 %
2026/09/02 02:23:33.735, 1639 MiB, 100 %
2026/09/02 02:24:03.736, 1639 MiB, 23 %
2026/09/02 02:24:33.737, 1639 MiB, 79 %
2026/09/02 02:25:03.737, 1639 MiB, 100 %
2026/09/02 02:25:33.738, 1639 MiB, 100 %
2026/09/02 02:26:03.739, 1639 MiB, 100 %
2026/09/02 02:26:33.740, 1639 MiB, 22 %
2026/09/02 02:27:03.741, 1639 MiB, 72 %
2026/09/02 02:27:33.742, 1639 MiB, 96 %
2026/09/02 02:28:03.742, 1639 MiB, 66 %
2026/09/02 02:28:33.743, 1639 MiB, 100 %
2026/09/02 02:29:03.744, 1639 MiB, 94 %
2026/09/02 02:29:33.745, 1639 MiB, 100 %
2026/09/02 02:30:03.746, 1639 MiB, 100 %
2026/09/02 02:30:33.747, 1639 MiB, 31 %
2026/09/02 02:31:03.747, 1639 MiB, 100 %
2026/09/02 02:31:33.749, 1639 MiB, 23 %
2026/09/02 02:32:03.749, 1639 MiB, 100 %
2026/09/02 02:32:33.750, 1639 MiB, 100 %
2026/09/02 02:33:03.766, 1639 MiB, 84 %
2026/09/02 02:33:33.767, 1639 MiB, 100 %
2026/09/02 02:34:03.768, 1639 MiB, 22 %
2026/09/02 02:34:33.768, 1639 MiB, 71 %
2026/09/02 02:35:03.769, 1639 MiB, 100 %
2026/09/02 02:35:33.769, 1639 MiB, 92 %
2026/09/02 02:36:03.770, 1639 MiB, 100 %
2026/09/02 02:36:33.771, 1639 MiB, 23 %
2026/09/02 02:37:03.771, 1639 MiB, 95 %
2026/09/02 02:37:33.772, 1639 MiB, 100 %
2026/09/02 02:38:03.773, 1639 MiB, 100 %
2026/09/02 02:38:33.773, 1639 MiB, 100 %
2026/09/02 02:39:03.774, 1639 MiB, 100 %
2026/09/02 02:39:33.775, 1639 MiB, 100 %
2026/09/02 02:40:03.776, 1639 MiB, 23 %
2026/09/02 02:40:33.777, 1639 MiB, 71 %
2026/09/02 02:41:03.777, 1639 MiB, 100 %
2026/09/02 02:41:33.778, 1639 MiB, 100 %
2026/09/02 02:42:03.778, 1639 MiB, 100 %
2026/09/02 02:42:33.779, 1639 MiB, 100 %
2026/09/02 02:43:03.780, 1639 MiB, 100 %
2026/09/02 02:43:33.780, 1639 MiB, 100 %
2026/09/02 02:44:03.781, 1639 MiB, 100 %
2026/09/02 02:44:33.782, 1639 MiB, 45 %
2026/09/02 02:45:03.782, 1639 MiB, 71 %
2026/09/02 02:45:33.783, 1639 MiB, 88 %
2026/09/02 02:46:03.783, 1639 MiB, 51 %
2026/09/02 02:46:33.784, 1639 MiB, 100 %
2026/09/02 02:47:03.784, 1639 MiB, 100 %
2026/09/02 02:47:33.785, 1639 MiB, 100 %
2026/09/02 02:48:03.786, 1639 MiB, 100 %
2026/09/02 02:48:33.786, 1639 MiB, 100 %
2026/09/02 02:49:03.787, 1639 MiB, 100 %
2026/09/02 02:49:33.788, 1639 MiB, 100 %
2026/09/02 02:50:03.789, 1639 MiB, 100 %
2026/09/02 02:50:33.789, 1639 MiB, 76 %
2026/09/02 02:51:03.790, 1639 MiB, 23 %
2026/09/02 02:51:33.790, 1639 MiB, 100 %
2026/09/02 02:52:03.791, 1639 MiB, 100 %
2026/09/02 02:52:33.791, 1639 MiB, 100 %
2026/09/02 02:53:03.792, 1639 MiB, 24 %
2026/09/02 02:53:33.793, 1639 MiB, 99 %
2026/09/02 02:54:03.794, 1639 MiB, 93 %
2026/09/02 02:54:33.794, 1639 MiB, 100 %
2026/09/02 02:55:03.795, 1639 MiB, 24 %
2026/09/02 02:55:33.796, 1639 MiB, 100 %
2026/09/02 02:56:03.796, 1639 MiB, 100 %
2026/09/02 02:56:33.797, 1639 MiB, 100 %
2026/09/02 02:57:03.797, 1639 MiB, 45 %
2026/09/02 02:57:33.798, 1639 MiB, 71 %
2026/09/02 02:58:03.798, 1639 MiB, 71 %
2026/09/02 02:58:33.799, 1639 MiB, 83 %
2026/09/02 02:59:03.800, 1639 MiB, 85 %
2026/09/02 02:59:33.800, 1639 MiB, 73 %
2026/09/02 03:00:03.800, 1639 MiB, 94 %
2026/09/02 03:00:33.801, 1639 MiB, 99 %
2026/09/02 03:01:03.802, 1639 MiB, 44 %
2026/09/02 03:01:33.802, 1639 MiB, 98 %
2026/09/02 03:02:03.803, 1639 MiB, 100 %
2026/09/02 03:02:33.803, 1639 MiB, 100 %
2026/09/02 03:03:03.804, 1639 MiB, 23 %
2026/09/02 03:03:33.805, 1639 MiB, 100 %
2026/09/02 03:04:03.805, 1639 MiB, 100 %
2026/09/02 03:04:33.806, 1639 MiB, 100 %
2026/09/02 03:05:03.807, 1639 MiB, 23 %
2026/09/02 03:05:33.807, 1639 MiB, 100 %
2026/09/02 03:06:03.808, 1639 MiB, 100 %
2026/09/02 03:06:33.808, 1639 MiB, 100 %
2026/09/02 03:07:03.809, 1639 MiB, 23 %
2026/09/02 03:07:33.810, 1639 MiB, 100 %
2026/09/02 03:08:03.810, 1639 MiB, 100 %
2026/09/02 03:08:33.811, 1639 MiB, 100 %
2026/09/02 03:09:03.811, 1639 MiB, 23 %
2026/09/02 03:09:33.812, 1639 MiB, 100 %
2026/09/02 03:10:03.813, 1639 MiB, 100 %
2026/09/02 03:10:33.813, 1639 MiB, 97 %
2026/09/02 03:11:03.814, 1639 MiB, 50 %
2026/09/02 03:11:33.814, 1639 MiB, 84 %
2026/09/02 03:12:03.815, 1639 MiB, 71 %
2026/09/02 03:12:33.815, 1639 MiB, 71 %
2026/09/02 03:13:03.816, 1639 MiB, 53 %
2026/09/02 03:13:33.817, 1639 MiB, 62 %
2026/09/02 03:14:03.817, 1639 MiB, 71 %
2026/09/02 03:14:33.818, 1639 MiB, 71 %
2026/09/02 03:15:03.819, 1639 MiB, 84 %
2026/09/02 03:15:33.820, 1639 MiB, 100 %
2026/09/02 03:16:03.820, 1639 MiB, 100 %
2026/09/02 03:16:33.821, 1639 MiB, 100 %
2026/09/02 03:17:03.821, 1639 MiB, 23 %
2026/09/02 03:17:33.822, 1639 MiB, 100 %
2026/09/02 03:18:03.823, 1639 MiB, 100 %
2026/09/02 03:18:33.823, 1639 MiB, 100 %
2026/09/02 03:19:03.824, 1639 MiB, 24 %
2026/09/02 03:19:33.825, 1639 MiB, 71 %
2026/09/02 03:20:03.826, 1639 MiB, 84 %
2026/09/02 03:20:33.826, 1639 MiB, 23 %
2026/09/02 03:21:03.827, 1639 MiB, 100 %
2026/09/02 03:21:33.828, 1639 MiB, 100 %
2026/09/02 03:22:03.828, 1639 MiB, 100 %
2026/09/02 03:22:33.829, 1639 MiB, 60 %
2026/09/02 03:23:03.830, 1639 MiB, 100 %
2026/09/02 03:23:33.830, 1639 MiB, 100 %
2026/09/02 03:24:03.831, 1639 MiB, 100 %
2026/09/02 03:24:33.832, 1639 MiB, 92 %
2026/09/02 03:25:03.832, 1639 MiB, 100 %
2026/09/02 03:25:33.833, 1639 MiB, 100 %
2026/09/02 03:26:03.834, 1639 MiB, 23 %
2026/09/02 03:26:33.834, 1639 MiB, 100 %
2026/09/02 03:27:03.835, 1639 MiB, 84 %
2026/09/02 03:27:33.835, 1639 MiB, 100 %
2026/09/02 03:28:03.836, 1639 MiB, 30 %
2026/09/02 03:28:33.837, 1639 MiB, 71 %
2026/09/02 03:29:03.837, 1639 MiB, 75 %
2026/09/02 03:29:33.838, 1639 MiB, 23 %
2026/09/02 03:30:03.839, 1639 MiB, 100 %
2026/09/02 03:30:33.840, 1639 MiB, 86 %
2026/09/02 03:31:03.840, 1639 MiB, 67 %
2026/09/02 03:31:33.841, 1639 MiB, 100 %
2026/09/02 03:32:03.842, 1639 MiB, 71 %
2026/09/02 03:32:33.842, 1639 MiB, 71 %
2026/09/02 03:33:03.843, 1639 MiB, 36 %
2026/09/02 03:33:33.844, 1639 MiB, 100 %
2026/09/02 03:34:03.844, 1639 MiB, 100 %
2026/09/02 03:34:33.845, 1639 MiB, 100 %
2026/09/02 03:35:03.846, 1639 MiB, 25 %
2026/09/02 03:35:33.847, 1639 MiB, 71 %
2026/09/02 03:36:03.847, 1639 MiB, 100 %
2026/09/02 03:36:33.848, 1639 MiB, 24 %
2026/09/02 03:37:03.849, 1639 MiB, 100 %
2026/09/02 03:37:33.850, 1639 MiB, 100 %
2026/09/02 03:38:03.850, 1639 MiB, 100 %
2026/09/02 03:38:33.851, 1639 MiB, 32 %
2026/09/02 03:39:03.852, 1639 MiB, 71 %
2026/09/02 03:39:33.853, 1639 MiB, 73 %
2026/09/02 03:40:03.853, 1639 MiB, 94 %
