timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/02 06:15:45.701, 0 MiB, 0 %
2026/09/02 06:16:15.706, 14705 MiB, 100 %
2026/09/02 06:16:45.707, 14705 MiB, 85 %
2026/09/02 06:17:15.708, 14705 MiB, 21 %
2026/09/02 06:17:45.709, 14705 MiB, 100 %
2026/09/02 06:18:15.709, 14705 MiB, 100 %
2026/09/02 06:18:45.710, 14705 MiB, 100 %
2026/09/02 06:19:15.711, 14705 MiB, 100 %
2026/09/02 06:19:45.712, 14705 MiB, 100 %
2026/09/02 06:20:15.713, 14705 MiB, 100 %
2026/09/02 06:20:45.714, 14705 MiB, 78 %
2026/09/02 06:21:15.715, 14705 MiB, 60 %
2026/09/02 06:21:45.716, 14705 MiB, 28 %
2026/09/02 06:22:15.717, 14705 MiB, 85 %
2026/09/02 06:22:45.718, 14705 MiB, 100 %
2026/09/02 06:23:15.718, 14705 MiB, 100 %
2026/09/02 06:23:45.720, 14705 MiB, 100 %
2026/09/02 06:24:15.721, 14705 MiB, 100 %
2026/09/02 06:24:45.721, 14705 MiB, 98 %
2026/09/02 06:25:15.722, 14705 MiB, 99 %
2026/09/02 06:25:45.723, 14705 MiB, 98 %
2026/09/02 06:26:15.724, 14705 MiB, 98 %
2026/09/02 06:26:45.724, 14705 MiB, 100 %
2026/09/02 06:27:15.725, 14705 MiB, 100 %
2026/09/02 06:27:45.726, 14705 MiB, 100 %
2026/09/02 06:28:15.727, 14705 MiB, 100 %
2026/09/02 06:28:45.728, 14705 MiB, 98 %
2026/09/02 06:29:15.728, 14705 MiB, 98 %
2026/09/02 06:29:45.729, 14705 MiB, 100 %
2026/09/02 06:30:15.730, 14705 MiB, 96 %
2026/09/02 06:30:45.731, 14705 MiB, 32 %
2026/09/02 06:31:15.732, 14705 MiB, 67 %
2026/09/02 06:31:45.733, 14705 MiB, 52 %
2026/09/02 06:32:15.734, 14705 MiB, 41 %
2026/09/02 06:32:45.735, 14705 MiB, 43 %
2026/09/02 06:33:15.736, 14705 MiB, 20 %
2026/09/02 06:33:45.737, 14705 MiB, 20 %
2026/09/02 06:34:15.737, 14705 MiB, 22 %
2026/09/02 06:34:45.738, 14705 MiB, 23 %
2026/09/02 06:35:15.739, 14705 MiB, 40 %
2026/09/02 06:35:45.740, 14705 MiB, 37 %
2026/09/02 06:36:15.751, 14705 MiB, 96 %
2026/09/02 06:36:45.752, 14705 MiB, 100 %
2026/09/02 06:37:15.753, 14705 MiB, 100 %
2026/09/02 06:37:45.753, 14705 MiB, 100 %
2026/09/02 06:38:15.754, 14705 MiB, 100 %
2026/09/02 06:38:45.755, 14705 MiB, 98 %
2026/09/02 06:39:15.756, 14705 MiB, 98 %
2026/09/02 06:39:45.756, 14705 MiB, 98 %
2026/09/02 06:40:15.757, 14705 MiB, 100 %
2026/09/02 06:40:45.758, 14705 MiB, 99 %
2026/09/02 06:41:15.759, 14705 MiB, 100 %
2026/09/02 06:41:45.759, 14705 MiB, 100 %
2026/09/02 06:42:15.760, 14705 MiB, 100 %
2026/09/02 06:42:45.761, 14705 MiB, 100 %
2026/09/02 06:43:15.761, 14705 MiB, 69 %
2026/09/02 06:43:45.762, 14705 MiB, 28 %
2026/09/02 06:44:15.763, 14705 MiB, 24 %
2026/09/02 06:44:45.763, 14705 MiB, 100 %
2026/09/02 06:45:15.764, 14705 MiB, 75 %
2026/09/02 06:45:45.765, 14705 MiB, 100 %
2026/09/02 06:46:15.766, 14705 MiB, 100 %
2026/09/02 06:46:45.767, 14705 MiB, 100 %
2026/09/02 06:47:15.768, 14705 MiB, 100 %
2026/09/02 06:47:45.769, 14705 MiB, 100 %
2026/09/02 06:48:15.770, 14705 MiB, 100 %
2026/09/02 06:48:45.771, 14705 MiB, 100 %
2026/09/02 06:49:15.772, 14705 MiB, 100 %
2026/09/02 06:49:45.772, 14705 MiB, 55 %
2026/09/02 06:50:15.773, 14705 MiB, 42 %
2026/09/02 06:50:45.774, 14705 MiB, 42 %
2026/09/02 06:51:15.775, 14705 MiB, 61 %
2026/09/02 06:51:45.776, 14705 MiB, 100 %
2026/09/02 06:52:15.777, 14705 MiB, 100 %
2026/09/02 06:52:45.778, 14705 MiB, 100 %
2026/09/02 06:53:15.779, 14705 MiB, 100 %
2026/09/02 06:53:45.780, 14705 MiB, 100 %
2026/09/02 06:54:15.781, 14705 MiB, 100 %
2026/09/02 06:54:45.782, 14705 MiB, 100 %
2026/09/02 06:55:15.783, 14705 MiB, 100 %
2026/09/02 06:55:45.784, 14705 MiB, 100 %
2026/09/02 06:56:15.784, 14705 MiB, 100 %
2026/09/02 06:56:45.785, 14705 MiB, 100 %
2026/09/02 06:57:15.786, 14705 MiB, 100 %
2026/09/02 06:57:45.787, 14705 MiB, 100 %
2026/09/02 06:58:15.788, 14705 MiB, 100 %
2026/09/02 06:58:45.788, 14705 MiB, 100 %
2026/09/02 06:59:15.789, 14705 MiB, 99 %
2026/09/02 06:59:45.790, 14705 MiB, 100 %
2026/09/02 07:00:15.791, 14705 MiB, 100 %
2026/09/02 07:00:45.792, 14705 MiB, 100 %
2026/09/02 07:01:15.792, 14705 MiB, 38 %
2026/09/02 07:01:45.793, 14705 MiB, 100 %
2026/09/02 07:02:15.794, 14705 MiB, 100 %
2026/09/02 07:02:45.795, 14705 MiB, 100 %
2026/09/02 07:03:15.796, 14705 MiB, 100 %
2026/09/02 07:03:45.797, 14705 MiB, 27 %
2026/09/02 07:04:15.797, 14705 MiB, 27 %
2026/09/02 07:04:45.798, 14705 MiB, 100 %
2026/09/02 07:05:15.799, 14705 MiB, 100 %
2026/09/02 07:05:45.800, 14705 MiB, 98 %
2026/09/02 07:06:15.801, 14705 MiB, 98 %
2026/09/02 07:06:45.801, 14705 MiB, 100 %
2026/09/02 07:07:15.802, 14705 MiB, 100 %
2026/09/02 07:07:45.803, 14705 MiB, 100 %
2026/09/02 07:08:15.804, 14705 MiB, 72 %
2026/09/02 07:08:45.804, 14705 MiB, 28 %
2026/09/02 07:09:15.806, 14705 MiB, 20 %
2026/09/02 07:09:45.807, 14705 MiB, 73 %
2026/09/02 07:10:15.808, 14705 MiB, 100 %
2026/09/02 07:10:45.809, 14705 MiB, 100 %
2026/09/02 07:11:15.810, 14705 MiB, 100 %
2026/09/02 07:11:45.811, 14705 MiB, 100 %
2026/09/02 07:12:15.812, 14705 MiB, 100 %
2026/09/02 07:12:45.812, 14705 MiB, 98 %
2026/09/02 07:13:15.813, 14705 MiB, 100 %
2026/09/02 07:13:45.814, 14705 MiB, 98 %
2026/09/02 07:14:15.815, 14705 MiB, 98 %
2026/09/02 07:14:45.816, 14705 MiB, 98 %
2026/09/02 07:15:15.817, 14705 MiB, 100 %
2026/09/02 07:15:45.818, 14705 MiB, 100 %
2026/09/02 07:16:15.819, 14705 MiB, 100 %
2026/09/02 07:16:45.820, 14705 MiB, 100 %
2026/09/02 07:17:15.820, 14705 MiB, 20 %
2026/09/02 07:17:45.821, 14705 MiB, 21 %
2026/09/02 07:18:15.823, 14705 MiB, 20 %
2026/09/02 07:18:45.824, 14705 MiB, 74 %
2026/09/02 07:19:15.825, 14705 MiB, 100 %
2026/09/02 07:19:45.826, 14705 MiB, 100 %
2026/09/02 07:20:15.827, 14705 MiB, 100 %
2026/09/02 07:20:45.828, 14705 MiB, 99 %
2026/09/02 07:21:15.829, 14705 MiB, 88 %
2026/09/02 07:21:45.829, 14705 MiB, 100 %
2026/09/02 07:22:15.830, 14705 MiB, 100 %
2026/09/02 07:22:45.831, 14705 MiB, 100 %
2026/09/02 07:23:15.832, 14705 MiB, 100 %
2026/09/02 07:23:45.833, 14705 MiB, 100 %
2026/09/02 07:24:15.834, 14705 MiB, 70 %
2026/09/02 07:24:45.835, 14705 MiB, 23 %
2026/09/02 07:25:15.836, 14705 MiB, 45 %
2026/09/02 07:25:45.837, 14705 MiB, 84 %
2026/09/02 07:26:15.838, 14705 MiB, 100 %
2026/09/02 07:26:45.838, 14705 MiB, 36 %
2026/09/02 07:27:15.839, 14705 MiB, 22 %
2026/09/02 07:27:45.840, 14705 MiB, 100 %
2026/09/02 07:28:15.841, 14705 MiB, 100 %
2026/09/02 07:28:45.842, 14705 MiB, 100 %
2026/09/02 07:29:15.843, 14705 MiB, 89 %
2026/09/02 07:29:45.844, 14705 MiB, 64 %
2026/09/02 07:30:15.845, 14705 MiB, 44 %
2026/09/02 07:30:45.846, 14705 MiB, 20 %
2026/09/02 07:31:15.847, 14705 MiB, 99 %
2026/09/02 07:31:45.848, 14705 MiB, 100 %
2026/09/02 07:32:15.849, 14705 MiB, 100 %
2026/09/02 07:32:45.850, 14705 MiB, 100 %
2026/09/02 07:33:15.850, 14705 MiB, 100 %
2026/09/02 07:33:45.851, 14705 MiB, 100 %
2026/09/02 07:34:15.852, 14705 MiB, 100 %
2026/09/02 07:34:45.853, 14705 MiB, 88 %
2026/09/02 07:35:15.854, 14705 MiB, 100 %
2026/09/02 07:35:45.855, 14705 MiB, 100 %
2026/09/02 07:36:15.856, 14705 MiB, 100 %
2026/09/02 07:36:45.857, 14705 MiB, 100 %
2026/09/02 07:37:15.858, 14705 MiB, 99 %
2026/09/02 07:37:45.859, 14705 MiB, 98 %
2026/09/02 07:38:15.860, 14705 MiB, 99 %
2026/09/02 07:38:45.861, 14705 MiB, 99 %
2026/09/02 07:39:15.862, 14705 MiB, 100 %
2026/09/02 07:39:45.863, 14705 MiB, 100 %
2026/09/02 07:40:15.864, 14705 MiB, 100 %
2026/09/02 07:40:45.865, 14705 MiB, 100 %
2026/09/02 07:41:15.866, 14705 MiB, 100 %
2026/09/02 07:41:45.867, 14705 MiB, 99 %
2026/09/02 07:42:15.868, 14705 MiB, 98 %
2026/09/02 07:42:45.868, 14705 MiB, 99 %
2026/09/02 07:43:15.869, 14705 MiB, 100 %
2026/09/02 07:43:45.870, 14705 MiB, 100 %
2026/09/02 07:44:15.870, 14705 MiB, 100 %
2026/09/02 07:44:45.871, 14705 MiB, 100 %
2026/09/02 07:45:15.872, 14705 MiB, 100 %
2026/09/02 07:45:45.873, 14705 MiB, 100 %
2026/09/02 07:46:15.874, 14705 MiB, 79 %
2026/09/02 07:46:45.875, 14705 MiB, 34 %
2026/09/02 07:47:15.876, 14705 MiB, 22 %
2026/09/02 07:47:45.876, 14705 MiB, 78 %
2026/09/02 07:48:15.877, 14705 MiB, 100 %
2026/09/02 07:48:45.878, 14705 MiB, 100 %
2026/09/02 07:49:15.878, 14705 MiB, 100 %
2026/09/02 07:49:45.879, 14705 MiB, 100 %
2026/09/02 07:50:15.880, 14705 MiB, 100 %
2026/09/02 07:50:45.881, 14705 MiB, 98 %
2026/09/02 07:51:15.882, 14705 MiB, 100 %
2026/09/02 07:51:45.882, 14705 MiB, 100 %
2026/09/02 07:52:15.884, 14705 MiB, 100 %
2026/09/02 07:52:45.885, 14705 MiB, 53 %
2026/09/02 07:53:15.885, 14705 MiB, 21 %
2026/09/02 07:53:45.886, 14705 MiB, 43 %
2026/09/02 07:54:15.887, 14705 MiB, 87 %
2026/09/02 07:54:45.888, 14705 MiB, 100 %
2026/09/02 07:55:15.889, 14705 MiB, 100 %
2026/09/02 07:55:45.889, 14705 MiB, 100 %
2026/09/02 07:56:15.890, 14705 MiB, 100 %
2026/09/02 07:56:45.891, 14705 MiB, 99 %
2026/09/02 07:57:15.892, 14705 MiB, 100 %
2026/09/02 07:57:45.893, 14705 MiB, 100 %
2026/09/02 07:58:15.894, 14705 MiB, 100 %
2026/09/02 07:58:45.895, 14705 MiB, 98 %
2026/09/02 07:59:15.895, 14705 MiB, 100 %
2026/09/02 07:59:45.896, 14705 MiB, 100 %
2026/09/02 08:00:15.897, 14705 MiB, 100 %
2026/09/02 08:00:45.898, 14705 MiB, 100 %
2026/09/02 08:01:15.899, 14705 MiB, 100 %
2026/09/02 08:01:45.899, 14705 MiB, 100 %
2026/09/02 08:02:15.900, 14705 MiB, 100 %
2026/09/02 08:02:45.901, 14705 MiB, 100 %
2026/09/02 08:03:15.902, 14705 MiB, 98 %
2026/09/02 08:03:45.902, 14705 MiB, 100 %
2026/09/02 08:04:15.903, 14705 MiB, 100 %
2026/09/02 08:04:45.904, 14705 MiB, 99 %
2026/09/02 08:05:15.905, 14705 MiB, 98 %
2026/09/02 08:05:45.906, 14705 MiB, 100 %
2026/09/02 08:06:15.907, 14705 MiB, 100 %
2026/09/02 08:06:45.907, 14705 MiB, 100 %
2026/09/02 08:07:15.908, 14705 MiB, 100 %
2026/09/02 08:07:45.908, 14705 MiB, 100 %
2026/09/02 08:08:15.909, 14705 MiB, 100 %
2026/09/02 08:08:45.910, 14705 MiB, 100 %
2026/09/02 08:09:15.911, 14705 MiB, 100 %
2026/09/02 08:09:45.912, 14705 MiB, 100 %
2026/09/02 08:10:15.912, 14705 MiB, 100 %
2026/09/02 08:10:45.913, 14705 MiB, 100 %
2026/09/02 08:11:15.914, 14705 MiB, 100 %
2026/09/02 08:11:45.915, 14705 MiB, 100 %
2026/09/02 08:12:15.916, 14705 MiB, 100 %
2026/09/02 08:12:45.916, 14705 MiB, 22 %
2026/09/02 08:13:15.917, 14705 MiB, 98 %
2026/09/02 08:13:45.918, 14705 MiB, 92 %
2026/09/02 08:14:15.919, 14705 MiB, 69 %
2026/09/02 08:14:45.919, 14705 MiB, 62 %
2026/09/02 08:15:15.920, 14705 MiB, 51 %
2026/09/02 08:15:45.921, 14705 MiB, 43 %
2026/09/02 08:16:15.922, 14705 MiB, 23 %
2026/09/02 08:16:45.922, 14705 MiB, 20 %
