timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/02 21:14:47.676, 0 MiB, 0 %
2026/09/02 21:15:17.682, 14705 MiB, 100 %
2026/09/02 21:15:47.682, 14705 MiB, 100 %
2026/09/02 21:16:17.683, 14705 MiB, 19 %
2026/09/02 21:16:47.683, 14705 MiB, 100 %
2026/09/02 21:17:17.684, 14705 MiB, 100 %
2026/09/02 21:17:47.684, 14705 MiB, 100 %
2026/09/02 21:18:17.685, 14705 MiB, 58 %
2026/09/02 21:18:47.685, 14705 MiB, 98 %
2026/09/02 21:19:17.686, 14705 MiB, 100 %
2026/09/02 21:19:47.686, 14705 MiB, 100 %
2026/09/02 21:20:17.687, 14705 MiB, 100 %
2026/09/02 21:20:47.688, 14705 MiB, 100 %
2026/09/02 21:21:17.688, 14705 MiB, 100 %
2026/09/02 21:21:47.689, 14705 MiB, 100 %
2026/09/02 21:22:17.689, 14705 MiB, 100 %
2026/09/02 21:22:47.690, 14705 MiB, 100 %
2026/09/02 21:23:17.691, 14705 MiB, 92 %
2026/09/02 21:23:47.692, 14705 MiB, 44 %
2026/09/02 21:24:17.692, 14705 MiB, 100 %
2026/09/02 21:24:47.693, 14705 MiB, 100 %
2026/09/02 21:25:17.694, 14705 MiB, 100 %
2026/09/02 21:25:47.695, 14705 MiB, 48 %
2026/09/02 21:26:17.695, 14705 MiB, 100 %
2026/09/02 21:26:47.696, 14705 MiB, 100 %
2026/09/02 21:27:17.696, 14705 MiB, 55 %
2026/09/02 21:27:47.697, 14705 MiB, 26 %
2026/09/02 21:28:17.698, 14705 MiB, 52 %
2026/09/02 21:28:47.699, 14705 MiB, 71 %
2026/09/02 21:29:17.699, 14705 MiB, 0 %
2026/09/02 21:29:47.700, 14705 MiB, 40 %
2026/09/02 21:30:17.701, 14705 MiB, 22 %
2026/09/02 21:30:47.701, 14705 MiB, 50 %
2026/09/02 21:31:17.702, 14705 MiB, 87 %
2026/09/02 21:31:47.703, 14705 MiB, 100 %
2026/09/02 21:32:17.704, 14705 MiB, 100 %
2026/09/02 21:32:47.705, 14705 MiB, 98 %
