timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/03 00:47:30.312, 0 MiB, 0 %
2026/09/03 00:48:00.317, 1639 MiB, 25 %
2026/09/03 00:48:30.318, 1639 MiB, 100 %
2026/09/03 00:49:00.319, 1639 MiB, 74 %
2026/09/03 00:49:30.319, 1639 MiB, 38 %
2026/09/03 00:50:00.320, 1639 MiB, 100 %
2026/09/03 00:50:30.321, 1639 MiB, 23 %
2026/09/03 00:51:00.321, 1639 MiB, 100 %
2026/09/03 00:51:30.322, 1639 MiB, 62 %
2026/09/03 00:52:00.322, 1639 MiB, 100 %
2026/09/03 00:52:30.323, 1639 MiB, 100 %
2026/09/03 00:53:00.324, 1639 MiB, 100 %
2026/09/03 00:53:30.324, 1639 MiB, 100 %
2026/09/03 00:54:00.325, 1639 MiB, 23 %
2026/09/03 00:54:30.325, 1639 MiB, 100 %
2026/09/03 00:55:00.326, 1639 MiB, 100 %
2026/09/03 00:55:30.326, 1639 MiB, 100 %
2026/09/03 00:56:00.327, 1639 MiB, 82 %
2026/09/03 00:56:30.328, 1639 MiB, 45 %
2026/09/03 00:57:00.328, 1639 MiB, 100 %
2026/09/03 00:57:30.329, 1639 MiB, 42 %
2026/09/03 00:58:00.329, 1639 MiB, 100 %
2026/09/03 00:58:30.330, 1639 MiB, 70 %
2026/09/03 00:59:00.330, 1639 MiB, 23 %
2026/09/03 00:59:30.331, 1639 MiB, 77 %
2026/09/03 01:00:00.332, 1639 MiB, 100 %
2026/09/03 01:00:30.332, 1639 MiB, 100 %
2026/09/03 01:01:00.333, 1639 MiB, 100 %
2026/09/03 01:01:30.334, 1639 MiB, 53 %
2026/09/03 01:02:00.335, 1639 MiB, 100 %
2026/09/03 01:02:30.336, 1639 MiB, 82 %
2026/09/03 01:03:00.336, 1639 MiB, 88 %
2026/09/03 01:03:30.337, 1639 MiB, 23 %
2026/09/03 01:04:00.337, 1639 MiB, 100 %
2026/09/03 01:04:30.338, 1639 MiB, 100 %
2026/09/03 01:05:00.339, 1639 MiB, 100 %
2026/09/03 01:05:30.340, 1639 MiB, 30 %
2026/09/03 01:06:00.340, 1639 MiB, 69 %
