timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/05 02:25:14.161, 0 MiB, 0 %
2026/09/05 02:25:44.167, 14661 MiB, 100 %
2026/09/05 02:26:14.167, 14661 MiB, 100 %
2026/09/05 02:26:44.168, 14661 MiB, 98 %
2026/09/05 02:27:14.169, 14661 MiB, 100 %
2026/09/05 02:27:44.170, 14661 MiB, 98 %
2026/09/05 02:28:14.170, 14661 MiB, 98 %
2026/09/05 02:28:44.171, 14661 MiB, 98 %
2026/09/05 02:29:14.172, 14661 MiB, 100 %
2026/09/05 02:29:44.172, 14661 MiB, 100 %
2026/09/05 02:30:14.173, 14661 MiB, 100 %
2026/09/05 02:30:44.173, 14661 MiB, 100 %
2026/09/05 02:31:14.174, 14661 MiB, 69 %
2026/09/05 02:31:44.175, 14661 MiB, 44 %
2026/09/05 02:32:14.176, 14661 MiB, 89 %
2026/09/05 02:32:44.177, 14661 MiB, 100 %
2026/09/05 02:33:14.177, 14661 MiB, 100 %
2026/09/05 02:33:44.178, 14661 MiB, 100 %
2026/09/05 02:34:14.179, 14661 MiB, 100 %
2026/09/05 02:34:44.180, 14661 MiB, 98 %
2026/09/05 02:35:14.180, 14661 MiB, 100 %
2026/09/05 02:35:44.181, 14661 MiB, 100 %
2026/09/05 02:36:14.195, 14661 MiB, 100 %
2026/09/05 02:36:44.195, 14661 MiB, 48 %
2026/09/05 02:37:14.196, 14661 MiB, 58 %
2026/09/05 02:37:44.197, 14661 MiB, 100 %
2026/09/05 02:38:14.197, 14661 MiB, 100 %
2026/09/05 02:38:44.198, 14661 MiB, 100 %
2026/09/05 02:39:14.199, 14661 MiB, 100 %
2026/09/05 02:39:44.200, 14661 MiB, 100 %
2026/09/05 02:40:14.200, 14661 MiB, 41 %
2026/09/05 02:40:44.201, 14661 MiB, 100 %
2026/09/05 02:41:14.201, 14661 MiB, 100 %
2026/09/05 02:41:44.202, 14661 MiB, 98 %
2026/09/05 02:42:14.203, 14661 MiB, 98 %
2026/09/05 02:42:44.204, 14661 MiB, 100 %
2026/09/05 02:43:14.204, 14661 MiB, 100 %
2026/09/05 02:43:44.205, 14661 MiB, 100 %
2026/09/05 02:44:14.206, 14661 MiB, 100 %
2026/09/05 02:44:44.206, 14661 MiB, 100 %
2026/09/05 02:45:14.207, 14661 MiB, 100 %
2026/09/05 02:45:44.207, 14661 MiB, 100 %
2026/09/05 02:46:14.208, 14661 MiB, 98 %
2026/09/05 02:46:44.208, 14661 MiB, 100 %
2026/09/05 02:47:14.209, 14661 MiB, 100 %
2026/09/05 02:47:44.210, 14661 MiB, 100 %
2026/09/05 02:48:14.210, 14661 MiB, 100 %
2026/09/05 02:48:44.211, 14661 MiB, 100 %
2026/09/05 02:49:14.212, 14661 MiB, 98 %
2026/09/05 02:49:44.212, 14661 MiB, 94 %
2026/09/05 02:50:14.213, 14661 MiB, 88 %
2026/09/05 02:50:44.214, 14661 MiB, 94 %
2026/09/05 02:51:14.215, 14661 MiB, 52 %
2026/09/05 02:51:44.215, 14661 MiB, 100 %
2026/09/05 02:52:14.216, 14661 MiB, 100 %
2026/09/05 02:52:44.217, 14661 MiB, 100 %
2026/09/05 02:53:14.218, 14661 MiB, 100 %
2026/09/05 02:53:44.219, 14661 MiB, 100 %
2026/09/05 02:54:14.220, 14661 MiB, 100 %
2026/09/05 02:54:44.221, 14661 MiB, 98 %
2026/09/05 02:55:14.221, 14661 MiB, 98 %
2026/09/05 02:55:44.222, 14661 MiB, 100 %
2026/09/05 02:56:14.222, 14661 MiB, 100 %
2026/09/05 02:56:44.224, 14661 MiB, 100 %
2026/09/05 02:57:14.224, 14661 MiB, 98 %
2026/09/05 02:57:44.225, 14661 MiB, 98 %
2026/09/05 02:58:14.226, 14661 MiB, 98 %
2026/09/05 02:58:44.226, 14661 MiB, 98 %
2026/09/05 02:59:14.228, 14661 MiB, 98 %
2026/09/05 02:59:44.228, 14661 MiB, 98 %
2026/09/05 03:00:14.229, 14661 MiB, 98 %
2026/09/05 03:00:44.229, 14661 MiB, 100 %
2026/09/05 03:01:14.230, 14661 MiB, 100 %
2026/09/05 03:01:44.231, 14661 MiB, 100 %
2026/09/05 03:02:14.232, 14661 MiB, 100 %
2026/09/05 03:02:44.233, 14661 MiB, 100 %
2026/09/05 03:03:14.233, 14661 MiB, 100 %
2026/09/05 03:03:44.234, 14661 MiB, 100 %
2026/09/05 03:04:14.235, 14661 MiB, 100 %
2026/09/05 03:04:44.236, 14661 MiB, 100 %
2026/09/05 03:05:14.236, 14661 MiB, 100 %
2026/09/05 03:05:44.237, 14661 MiB, 100 %
2026/09/05 03:06:14.238, 14661 MiB, 100 %
2026/09/05 03:06:44.239, 14661 MiB, 100 %
2026/09/05 03:07:14.240, 14661 MiB, 100 %
2026/09/05 03:07:44.240, 14661 MiB, 100 %
2026/09/05 03:08:14.241, 14661 MiB, 100 %
2026/09/05 03:08:44.243, 14661 MiB, 100 %
2026/09/05 03:09:14.243, 14661 MiB, 100 %
2026/09/05 03:09:44.244, 14661 MiB, 67 %
2026/09/05 03:10:14.245, 14661 MiB, 98 %
2026/09/05 03:10:44.246, 14661 MiB, 100 %
2026/09/05 03:11:14.247, 14661 MiB, 100 %
2026/09/05 03:11:44.248, 14661 MiB, 100 %
2026/09/05 03:12:14.249, 14661 MiB, 100 %
2026/09/05 03:12:44.250, 14661 MiB, 98 %
2026/09/05 03:13:14.250, 14661 MiB, 99 %
2026/09/05 03:13:44.251, 14661 MiB, 100 %
2026/09/05 03:14:14.252, 14661 MiB, 100 %
2026/09/05 03:14:44.253, 14661 MiB, 100 %
2026/09/05 03:15:14.254, 14661 MiB, 62 %
2026/09/05 03:15:44.254, 14661 MiB, 98 %
2026/09/05 03:16:14.255, 14661 MiB, 100 %
2026/09/05 03:16:44.256, 14661 MiB, 100 %
2026/09/05 03:17:14.257, 14661 MiB, 93 %
2026/09/05 03:17:44.257, 14661 MiB, 84 %
2026/09/05 03:18:14.259, 14661 MiB, 100 %
2026/09/05 03:18:44.259, 14661 MiB, 100 %
2026/09/05 03:19:14.260, 14661 MiB, 100 %
2026/09/05 03:19:44.261, 14661 MiB, 100 %
2026/09/05 03:20:14.262, 14661 MiB, 98 %
2026/09/05 03:20:44.262, 14661 MiB, 100 %
2026/09/05 03:21:14.263, 14661 MiB, 100 %
2026/09/05 03:21:44.264, 14661 MiB, 100 %
2026/09/05 03:22:14.266, 14661 MiB, 45 %
2026/09/05 03:22:44.266, 14661 MiB, 90 %
2026/09/05 03:23:14.267, 14661 MiB, 100 %
2026/09/05 03:23:44.268, 14661 MiB, 100 %
2026/09/05 03:24:14.269, 14661 MiB, 100 %
2026/09/05 03:24:44.270, 14661 MiB, 98 %
2026/09/05 03:25:14.271, 14661 MiB, 100 %
2026/09/05 03:25:44.272, 14661 MiB, 100 %
2026/09/05 03:26:14.272, 14661 MiB, 100 %
2026/09/05 03:26:44.273, 14661 MiB, 99 %
2026/09/05 03:27:14.274, 14661 MiB, 51 %
2026/09/05 03:27:44.275, 14661 MiB, 45 %
2026/09/05 03:28:14.275, 14661 MiB, 100 %
2026/09/05 03:28:44.276, 14661 MiB, 100 %
2026/09/05 03:29:14.277, 14661 MiB, 100 %
2026/09/05 03:29:44.278, 14661 MiB, 98 %
2026/09/05 03:30:14.278, 14661 MiB, 98 %
2026/09/05 03:30:44.279, 14661 MiB, 100 %
2026/09/05 03:31:14.280, 14661 MiB, 100 %
2026/09/05 03:31:44.280, 14661 MiB, 100 %
2026/09/05 03:32:14.281, 14661 MiB, 100 %
2026/09/05 03:32:44.282, 14661 MiB, 100 %
2026/09/05 03:33:14.283, 14661 MiB, 100 %
2026/09/05 03:33:44.283, 14661 MiB, 97 %
2026/09/05 03:34:14.284, 14661 MiB, 40 %
2026/09/05 03:34:44.285, 14661 MiB, 100 %
2026/09/05 03:35:14.285, 14661 MiB, 100 %
2026/09/05 03:35:44.286, 14661 MiB, 100 %
2026/09/05 03:36:14.287, 14661 MiB, 98 %
2026/09/05 03:36:44.287, 14661 MiB, 99 %
2026/09/05 03:37:14.288, 14661 MiB, 100 %
2026/09/05 03:37:44.289, 14661 MiB, 100 %
2026/09/05 03:38:14.289, 14661 MiB, 100 %
2026/09/05 03:38:44.290, 14661 MiB, 81 %
2026/09/05 03:39:14.291, 14661 MiB, 44 %
2026/09/05 03:39:44.292, 14661 MiB, 100 %
2026/09/05 03:40:14.292, 14661 MiB, 100 %
2026/09/05 03:40:44.292, 14661 MiB, 100 %
2026/09/05 03:41:14.293, 14661 MiB, 100 %
2026/09/05 03:41:44.294, 14661 MiB, 39 %
2026/09/05 03:42:14.295, 14661 MiB, 100 %
2026/09/05 03:42:44.296, 14661 MiB, 100 %
2026/09/05 03:43:14.297, 14661 MiB, 100 %
2026/09/05 03:43:44.298, 14661 MiB, 96 %
2026/09/05 03:44:14.299, 14661 MiB, 50 %
2026/09/05 03:44:44.300, 14661 MiB, 100 %
2026/09/05 03:45:14.300, 14661 MiB, 96 %
2026/09/05 03:45:44.301, 14661 MiB, 52 %
2026/09/05 03:46:14.301, 14661 MiB, 78 %
2026/09/05 03:46:44.302, 14661 MiB, 100 %
2026/09/05 03:47:14.303, 14661 MiB, 100 %
2026/09/05 03:47:44.303, 14661 MiB, 100 %
2026/09/05 03:48:14.304, 14661 MiB, 100 %
2026/09/05 03:48:44.304, 14661 MiB, 43 %
2026/09/05 03:49:14.305, 14661 MiB, 100 %
2026/09/05 03:49:44.305, 14661 MiB, 97 %
2026/09/05 03:50:14.306, 14661 MiB, 100 %
2026/09/05 03:50:44.307, 14661 MiB, 100 %
2026/09/05 03:51:14.307, 14661 MiB, 100 %
2026/09/05 03:51:44.308, 14661 MiB, 100 %
2026/09/05 03:52:14.308, 14661 MiB, 98 %
2026/09/05 03:52:44.309, 14661 MiB, 98 %
2026/09/05 03:53:14.309, 14661 MiB, 100 %
2026/09/05 03:53:44.310, 14661 MiB, 100 %
2026/09/05 03:54:14.310, 14661 MiB, 100 %
2026/09/05 03:54:44.311, 14661 MiB, 100 %
2026/09/05 03:55:14.311, 14661 MiB, 100 %
2026/09/05 03:55:44.312, 14661 MiB, 100 %
2026/09/05 03:56:14.313, 14661 MiB, 100 %
2026/09/05 03:56:44.313, 14661 MiB, 100 %
2026/09/05 03:57:14.314, 14661 MiB, 97 %
2026/09/05 03:57:44.315, 14661 MiB, 41 %
2026/09/05 03:58:14.315, 14661 MiB, 100 %
2026/09/05 03:58:44.316, 14661 MiB, 100 %
2026/09/05 03:59:14.316, 14661 MiB, 100 %
2026/09/05 03:59:44.317, 14661 MiB, 100 %
2026/09/05 04:00:14.318, 14661 MiB, 100 %
2026/09/05 04:00:44.319, 14661 MiB, 82 %
2026/09/05 04:01:14.320, 14661 MiB, 58 %
2026/09/05 04:01:44.321, 14661 MiB, 100 %
2026/09/05 04:02:14.321, 14661 MiB, 100 %
2026/09/05 04:02:44.322, 14661 MiB, 100 %
2026/09/05 04:03:14.323, 14661 MiB, 98 %
2026/09/05 04:03:44.324, 14661 MiB, 98 %
2026/09/05 04:04:14.325, 14661 MiB, 100 %
2026/09/05 04:04:44.325, 14661 MiB, 98 %
2026/09/05 04:05:14.326, 14661 MiB, 100 %
2026/09/05 04:05:44.327, 14661 MiB, 100 %
2026/09/05 04:06:14.328, 14661 MiB, 100 %
2026/09/05 04:06:44.328, 14661 MiB, 100 %
2026/09/05 04:07:14.329, 14661 MiB, 100 %
2026/09/05 04:07:44.330, 14661 MiB, 100 %
2026/09/05 04:08:14.330, 14661 MiB, 92 %
2026/09/05 04:08:44.331, 14661 MiB, 100 %
2026/09/05 04:09:14.332, 14661 MiB, 88 %
2026/09/05 04:09:44.333, 14661 MiB, 65 %
2026/09/05 04:10:14.333, 14661 MiB, 53 %
2026/09/05 04:10:44.334, 14661 MiB, 99 %
2026/09/05 04:11:14.335, 14661 MiB, 98 %
2026/09/05 04:11:44.335, 14661 MiB, 100 %
2026/09/05 04:12:14.336, 14661 MiB, 97 %
2026/09/05 04:12:44.336, 14661 MiB, 100 %
2026/09/05 04:13:14.337, 14661 MiB, 100 %
2026/09/05 04:13:44.338, 14661 MiB, 100 %
2026/09/05 04:14:14.339, 14661 MiB, 100 %
2026/09/05 04:14:44.339, 14661 MiB, 100 %
2026/09/05 04:15:14.340, 14661 MiB, 99 %
2026/09/05 04:15:44.341, 14661 MiB, 68 %
2026/09/05 04:16:14.342, 14661 MiB, 42 %
2026/09/05 04:16:44.342, 14661 MiB, 77 %
2026/09/05 04:17:14.343, 14661 MiB, 100 %
2026/09/05 04:17:44.344, 14661 MiB, 100 %
2026/09/05 04:18:14.345, 14661 MiB, 100 %
2026/09/05 04:18:44.346, 14661 MiB, 100 %
2026/09/05 04:19:14.347, 14661 MiB, 100 %
2026/09/05 04:19:44.347, 14661 MiB, 100 %
2026/09/05 04:20:14.348, 14661 MiB, 100 %
2026/09/05 04:20:44.349, 14661 MiB, 100 %
2026/09/05 04:21:14.350, 14661 MiB, 100 %
2026/09/05 04:21:44.351, 14661 MiB, 100 %
