timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/05 04:50:15.104, 0 MiB, 0 %
2026/09/05 04:50:45.111, 1641 MiB, 67 %
2026/09/05 04:51:15.112, 1641 MiB, 70 %
2026/09/05 04:51:45.113, 1641 MiB, 100 %
2026/09/05 04:52:15.114, 1641 MiB, 56 %
2026/09/05 04:52:45.114, 1641 MiB, 100 %
2026/09/05 04:53:15.116, 1641 MiB, 48 %
2026/09/05 04:53:45.116, 1641 MiB, 100 %
2026/09/05 04:54:15.117, 1641 MiB, 73 %
2026/09/05 04:54:45.118, 1641 MiB, 95 %
2026/09/05 04:55:15.118, 1641 MiB, 100 %
2026/09/05 04:55:45.119, 1641 MiB, 61 %
2026/09/05 04:56:15.120, 1641 MiB, 100 %
2026/09/05 04:56:45.121, 1641 MiB, 100 %
2026/09/05 04:57:15.122, 1641 MiB, 23 %
2026/09/05 04:57:45.122, 1641 MiB, 64 %
2026/09/05 04:58:15.123, 1641 MiB, 100 %
2026/09/05 04:58:45.124, 1641 MiB, 61 %
2026/09/05 04:59:15.125, 1641 MiB, 100 %
2026/09/05 04:59:45.126, 1641 MiB, 23 %
2026/09/05 05:00:15.126, 1641 MiB, 100 %
2026/09/05 05:00:45.127, 1641 MiB, 87 %
2026/09/05 05:01:15.127, 1641 MiB, 100 %
2026/09/05 05:01:45.128, 1641 MiB, 100 %
2026/09/05 05:02:15.129, 1641 MiB, 48 %
2026/09/05 05:02:45.130, 1641 MiB, 100 %
2026/09/05 05:03:15.130, 1641 MiB, 81 %
2026/09/05 05:03:45.131, 1641 MiB, 22 %
2026/09/05 05:04:15.131, 1641 MiB, 100 %
2026/09/05 05:04:45.138, 1641 MiB, 66 %
2026/09/05 05:05:15.139, 1641 MiB, 100 %
2026/09/05 05:05:45.139, 1641 MiB, 65 %
2026/09/05 05:06:15.140, 1641 MiB, 22 %
2026/09/05 05:06:45.141, 1641 MiB, 77 %
2026/09/05 05:07:15.141, 1641 MiB, 100 %
2026/09/05 05:07:45.142, 1641 MiB, 75 %
2026/09/05 05:08:15.142, 1641 MiB, 100 %
2026/09/05 05:08:45.143, 1641 MiB, 24 %
2026/09/05 05:09:15.143, 1641 MiB, 100 %
2026/09/05 05:09:45.143, 1641 MiB, 74 %
2026/09/05 05:10:15.144, 1641 MiB, 22 %
2026/09/05 05:10:45.145, 1641 MiB, 100 %
2026/09/05 05:11:15.145, 1641 MiB, 72 %
2026/09/05 05:11:45.146, 1641 MiB, 100 %
2026/09/05 05:12:15.147, 1641 MiB, 89 %
2026/09/05 05:12:45.147, 1641 MiB, 22 %
2026/09/05 05:13:15.148, 1641 MiB, 91 %
2026/09/05 05:13:45.148, 1641 MiB, 96 %
2026/09/05 05:14:15.149, 0 MiB, 0 %
2026/09/05 05:14:45.150, 14661 MiB, 100 %
2026/09/05 05:15:15.151, 14661 MiB, 98 %
2026/09/05 05:15:45.152, 14661 MiB, 100 %
2026/09/05 05:16:15.152, 14661 MiB, 98 %
2026/09/05 05:16:45.153, 14661 MiB, 98 %
2026/09/05 05:17:15.154, 14661 MiB, 100 %
2026/09/05 05:17:45.154, 14661 MiB, 100 %
2026/09/05 05:18:15.155, 14661 MiB, 100 %
2026/09/05 05:18:45.156, 14661 MiB, 64 %
2026/09/05 05:19:15.156, 14661 MiB, 73 %
2026/09/05 05:19:45.157, 14661 MiB, 100 %
2026/09/05 05:20:15.158, 14661 MiB, 100 %
2026/09/05 05:20:45.158, 14661 MiB, 100 %
2026/09/05 05:21:15.159, 14661 MiB, 98 %
2026/09/05 05:21:45.159, 14661 MiB, 100 %
2026/09/05 05:22:15.160, 14661 MiB, 100 %
2026/09/05 05:22:45.161, 14661 MiB, 100 %
2026/09/05 05:23:15.161, 14661 MiB, 100 %
2026/09/05 05:23:45.162, 14661 MiB, 46 %
2026/09/05 05:24:15.163, 14661 MiB, 100 %
2026/09/05 05:24:45.163, 14661 MiB, 100 %
2026/09/05 05:25:15.164, 14661 MiB, 97 %
2026/09/05 05:25:45.165, 14661 MiB, 100 %
2026/09/05 05:26:15.165, 14661 MiB, 100 %
2026/09/05 05:26:45.166, 14661 MiB, 71 %
2026/09/05 05:27:15.167, 14661 MiB, 66 %
2026/09/05 05:27:45.168, 14661 MiB, 100 %
2026/09/05 05:28:15.168, 14661 MiB, 100 %
2026/09/05 05:28:45.169, 14661 MiB, 100 %
2026/09/05 05:29:15.170, 14661 MiB, 100 %
2026/09/05 05:29:45.171, 14661 MiB, 100 %
2026/09/05 05:30:15.171, 14661 MiB, 100 %
2026/09/05 05:30:45.172, 14661 MiB, 100 %
2026/09/05 05:31:15.173, 14661 MiB, 100 %
2026/09/05 05:31:45.174, 14661 MiB, 100 %
2026/09/05 05:32:15.175, 14661 MiB, 100 %
2026/09/05 05:32:45.176, 14661 MiB, 100 %
2026/09/05 05:33:15.177, 14661 MiB, 100 %
2026/09/05 05:33:45.177, 14661 MiB, 100 %
2026/09/05 05:34:15.178, 14661 MiB, 100 %
2026/09/05 05:34:45.179, 14661 MiB, 100 %
2026/09/05 05:35:15.179, 14661 MiB, 98 %
2026/09/05 05:35:45.180, 14661 MiB, 98 %
2026/09/05 05:36:15.180, 14661 MiB, 100 %
2026/09/05 05:36:45.181, 14661 MiB, 100 %
2026/09/05 05:37:15.182, 14661 MiB, 98 %
2026/09/05 05:37:45.183, 14661 MiB, 98 %
2026/09/05 05:38:15.184, 14661 MiB, 100 %
